user_index,user_id,password,gender,age_group,cheese_texture,buy_count
3312,1751881,1,1,2,1,2
21971,1835210,1,1,2,1,2
2347,5824726,1,1,4,1,1
18459,1752218,1,0,3,1,3
8768,2034072,1,1,3,1,1
5894,539603,1,1,3,1,1
19973,2457697,1,1,2,1,1
36379,5778844,1,1,1,1,1
28918,5109491,1,1,2,1,1
16541,744267,1,0,3,2,1
4246,5262533,1,1,3,1,6
32707,4182156,1,1,3,1,1
36619,1924332,1,1,3,1,1
35464,5934647,1,1,3,1,6
10834,4921467,1,1,3,2,1
548,201470,1,1,3,1,1
33071,54456,1,1,4,1,1
26783,5144245,1,1,2,1,3
36372,3860481,1,0,2,1,1
16296,4961261,1,1,1,1,2
28367,3043830,1,1,3,1,3
29027,64216,1,1,3,4,1
29107,5812384,1,1,4,4,1
30754,3877044,1,1,3,1,2
23451,6239230,1,1,2,1,1
2141,5040296,1,1,3,2,1
27133,425652,1,1,4,1,5
18846,5991285,1,1,2,1,1
30869,2451622,1,1,2,1,1
6233,2196477,1,1,2,2,1
6480,5071038,1,1,3,1,1
24097,1504151,1,1,2,1,1
17877,2632599,1,1,2,1,1
27774,5019865,1,1,2,1,1
24508,775921,1,1,3,1,8
22427,2107077,1,1,1,1,1
36727,6249917,1,1,2,1,1
24273,5912830,1,1,3,1,6
18162,1779161,1,1,5,1,5
29541,4824791,1,1,1,1,4
5241,75589,1,1,2,1,1
16387,6223246,1,1,1,1,1
29176,4362646,1,1,2,4,4
33497,2664002,1,1,3,2,5
19568,1313858,1,1,3,1,1
32816,3715551,1,1,2,1,1
7970,2309714,1,1,4,1,1
917,5711164,1,0,2,4,1
26478,2935417,1,1,1,1,3
10321,5421355,1,1,1,1,1
28642,4614340,1,1,2,1,1
1379,6491770,1,1,2,3,1
5604,5067648,1,1,2,2,2
19667,4575593,1,1,2,1,1
28104,974860,1,0,2,1,1
22658,4033332,1,1,2,4,1
2915,503963,1,1,5,1,1
16025,1018340,1,1,2,1,3
19426,3150290,1,0,2,4,1
27136,425652,1,1,4,1,5
19077,3576850,1,1,4,1,1
19143,3754117,1,1,2,1,1
195,4721795,1,1,3,1,2
2227,6340290,1,1,2,1,1
9505,1356525,1,1,2,2,1
31851,2747511,1,0,3,1,2
1519,5081698,1,1,3,1,1
29236,2324291,1,1,3,1,3
18821,3673723,1,1,3,1,1
14051,313505,1,1,2,1,2
11466,3334945,1,1,3,4,1
22880,4007347,1,1,1,1,5
9828,755686,1,0,2,1,2
17099,4383996,1,1,2,1,1
31369,5429959,1,1,3,1,2
10496,4817645,1,1,3,1,1
33840,4404211,1,1,3,1,2
22682,1019497,1,1,2,4,1
6917,3029532,1,0,2,3,1
22332,3955971,1,1,2,1,1
14302,1604934,1,1,2,4,1
14975,33158,1,1,3,1,1
6222,5672848,1,0,4,1,1
25744,4265371,1,1,2,1,1
3772,4944038,1,1,2,1,1
13179,4367183,1,0,3,1,1
32546,3193004,1,1,3,1,2
4294,1170639,1,1,2,4,5
15380,5850475,1,1,4,4,1
23960,5532293,1,1,2,3,1
31104,658120,1,1,5,1,1
